City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,smithers,54.7804,-127.1743,15.18,47,75,1.54,CA,1697329724
1,port mathurin,-19.6833,63.4167,22.67,69,0,4.78,MU,1697329724
2,adamstown,-25.066,-130.1015,21.38,78,97,2.61,PN,1697329725
3,qaqortoq,60.7167,-46.0333,3.7,68,18,1.32,GL,1697329427
4,port-aux-francais,-49.35,70.2167,0.38,69,84,12.26,TF,1697329725
5,aykhal,66.0,111.5,-11.07,92,43,0.89,RU,1697329725
6,puerto natales,-51.7236,-72.4875,6.32,77,93,4.39,CL,1697329725
7,prado,-17.3411,-39.2208,23.57,92,92,2.19,BR,1697329726
8,francistown,-21.17,27.5079,21.02,69,61,6.53,BW,1697329726
9,gobabis,-22.45,18.9667,21.76,13,94,3.96,NA,1697329726
10,sarny,51.338,26.6019,14.42,80,67,2.84,UA,1697329429
11,minas de marcona,-15.2119,-75.1103,15.92,72,82,3.89,PE,1697329429
12,yellowknife,62.456,-114.3525,10.23,88,20,6.17,CA,1697329553
13,kodiak,57.79,-152.4072,7.73,76,75,4.63,US,1697329429
14,alofi,-19.0595,-169.9187,27.94,61,40,6.17,NU,1697329727
15,luderitz,-26.6481,15.1594,13.24,95,21,1.51,NA,1697329727
16,st. john's,47.5649,-52.7093,12.31,98,75,6.17,CA,1697329446
17,papatowai,-46.5619,169.4708,11.13,59,100,6.43,NZ,1697329727
18,tura,25.5198,90.2201,19.86,79,0,1.21,IN,1697329727
19,hawaiian paradise park,19.5933,-154.9731,28.91,75,0,4.12,US,1697329728
20,invercargill,-46.4,168.35,10.57,77,97,6.26,NZ,1697329728
21,al ghayzah,16.2079,52.176,25.6,79,5,1.5,YE,1697329728
22,olonkinbyen,70.9221,-8.7187,-2.17,84,99,9.39,SJ,1697329431
23,west island,-12.1568,96.8225,25.99,78,75,6.69,CC,1697329729
24,la ronge,55.1001,-105.2842,9.14,57,40,3.6,CA,1697329730
25,san patricio,28.017,-97.5169,25.92,33,21,3.25,US,1697329730
26,enewetak,11.3474,162.3373,28.49,72,90,2.75,MH,1697329431
27,grytviken,-54.2811,-36.5092,-3.65,81,40,5.13,GS,1697329730
28,nova vicosa,-17.8919,-39.3719,24.15,90,94,2.58,BR,1697329731
29,molde,62.7375,7.1591,6.91,76,75,4.12,NO,1697329731
30,bilibino,68.0546,166.4372,-7.25,94,98,0.53,RU,1697329731
31,lompoc,34.6391,-120.4579,27.23,74,0,6.71,US,1697329731
32,calabozo,8.9242,-67.4293,28.74,65,76,1.58,VE,1697329732
33,new norfolk,-42.7826,147.0587,11.72,71,97,3.16,AU,1697329432
34,hermanus,-34.4187,19.2345,15.41,79,86,8.27,ZA,1697329732
35,atafu village,-8.5421,-172.5159,28.71,75,57,8.9,TK,1697329733
36,island harbour,50.724,-1.2758,7.74,89,1,4.87,GB,1697329733
37,albany,42.6001,-73.9662,10.23,82,100,0.36,US,1697329586
38,kose,40.21,39.6511,8.26,34,48,1.45,TR,1697329734
39,blackmans bay,-43.0167,147.3167,11.07,80,99,0.45,AU,1697329734
40,mermoz boabab,14.7065,-17.4758,28.88,84,0,2.06,SN,1697329735
41,ribeira grande,38.5167,-28.7,21.54,92,98,6.71,PT,1697329735
42,mugia,43.1041,-9.2179,15.51,83,97,4.81,ES,1697329736
43,longyearbyen,78.2186,15.6401,-0.09,80,75,9.77,SJ,1697329736
44,udachny,66.4167,112.4,-10.86,85,7,1.3,RU,1697329457
45,santo amaro,-12.5467,-38.7119,22.44,93,17,2.24,BR,1697329737
46,lorengau,-2.0226,147.2712,29.28,70,96,1.02,PG,1697329737
47,waitangi,-43.9535,-176.5597,12.59,88,2,10.22,NZ,1697329737
48,bethel,41.3712,-73.414,9.75,88,100,2.12,US,1697329737
49,sisimiut,66.9395,-53.6735,-3.78,80,18,4.43,GL,1697329738
50,tazovsky,67.4667,78.7,2.26,99,100,2.14,RU,1697329738
51,prince rupert,54.3161,-130.3201,13.05,94,40,2.06,CA,1697329738
52,cill airne,52.05,-9.5167,7.67,77,70,0.4,IE,1697329738
53,aasiaat,68.7098,-52.8699,-3.79,70,100,1.93,GL,1697329738
54,chonchi,-42.6128,-73.8092,8.56,89,88,1.61,CL,1697329738
55,tiksi,71.6872,128.8694,-11.72,95,100,3.67,RU,1697329738
56,jamestown,42.097,-79.2353,7.79,98,100,5.14,US,1697329629
57,edinburgh of the seven seas,-37.0676,-12.3116,14.81,96,100,10.74,SH,1697329739
58,newman,37.3138,-121.0208,29.05,21,95,1.34,US,1697329739
59,langford,48.4496,-123.5026,14.67,87,100,1.54,CA,1697329739
60,margaret river,-33.95,115.0667,16.09,56,0,4.67,AU,1697329552
61,stanley,54.868,-1.6985,2.25,82,0,3.09,GB,1697329739
62,ushuaia,-54.8,-68.3,7.81,66,40,9.77,AR,1697329647
63,auki,-8.7676,160.7034,29.95,67,31,0.66,SB,1697329740
64,wanning,18.8003,110.3967,24.5,85,100,4.93,CN,1697329740
65,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,88,40,2.24,RU,1697329740
66,borogontsy,62.6683,131.1683,-5.95,73,94,1.34,RU,1697329740
67,east london,-33.0153,27.9116,15.25,82,96,2.84,ZA,1697329740
68,porto novo,6.4965,2.6036,26.9,89,95,1.86,BJ,1697329741
69,ilhabela,-23.7781,-45.3581,19.55,92,100,5.28,BR,1697329618
70,posse,-14.0931,-46.3694,29.69,34,100,4.05,BR,1697329727
71,labuan,5.2767,115.2417,29.2,79,20,1.54,MY,1697329741
72,san antonio de pale,-1.4014,5.6325,25.79,84,94,7.81,GQ,1697329741
73,aginskoye,51.1,114.53,0.28,65,7,2.58,RU,1697329741
74,gaiman,-43.2897,-65.4929,15.44,47,43,3.87,AR,1697329742
75,isafjordur,66.0755,-23.124,2.38,95,100,4.79,IS,1697329742
76,mount isa,-20.7333,139.5,30.87,10,2,6.17,AU,1697329742
77,bogoroditsk,53.7717,38.1241,13.73,60,83,7.65,RU,1697329742
78,coquimbo,-29.9533,-71.3436,13.85,88,40,3.09,CL,1697329742
79,port elizabeth,-33.918,25.5701,12.95,96,40,1.03,ZA,1697329743
80,talnakh,69.4865,88.3972,1.23,89,100,2.52,RU,1697329743
81,labytnangi,66.6572,66.4183,-2.89,84,52,3.5,RU,1697329743
82,colonia,50.9333,6.95,9.36,85,0,2.57,DE,1697329743
83,karasburg,-28.0167,18.75,14.16,55,12,5.54,NA,1697329743
84,nuuk,64.1835,-51.7216,2.34,100,100,7.72,GL,1697329743
85,lethem,3.3803,-59.7968,28.15,62,94,2.88,GY,1697329744
86,nyurba,63.2842,118.3319,-12.16,92,29,1.79,RU,1697329744
87,kailua-kona,19.6406,-155.9956,30.33,74,40,4.63,US,1697329744
88,kerrville,30.0474,-99.1403,21.99,34,0,2.06,US,1697329686
89,puerto ayora,-0.7393,-90.3518,24.75,93,83,2.68,EC,1697329744
90,horta,38.5333,-28.6333,21.12,92,99,6.71,PT,1697329744
91,wailua homesteads,22.0669,-159.378,28.44,65,0,7.2,US,1697329745
92,medicine hat,50.0501,-110.6683,14.24,51,40,5.14,CA,1697329745
93,whitehorse,60.7161,-135.0538,11.43,63,75,8.23,CA,1697329546
94,polyarnyy,69.1989,33.4478,2.1,97,100,12.44,RU,1697329745
95,aripuana,-9.1667,-60.6333,24.59,81,90,0.26,BR,1697329745
96,carnarvon,-24.8667,113.6333,27.44,33,0,5.67,AU,1697329745
97,iqaluit,63.7506,-68.5145,-1.15,86,75,3.09,CA,1697329746
98,thompson,55.7435,-97.8558,7.09,87,20,1.54,CA,1697329558
99,badger,64.8,-147.5333,5.95,81,40,2.57,US,1697329746
100,labrador city,52.9463,-66.9114,5.95,100,100,8.23,CA,1697329746
101,ji'an,27.1172,114.9793,19.01,71,0,0.05,CN,1697329746
102,barcelos,41.5388,-8.6151,19.91,84,96,1.31,PT,1697329747
103,bredasdorp,-34.5322,20.0403,14.31,80,64,6.23,ZA,1697329747
104,san luis de la loma,17.2706,-100.8939,27.7,88,61,2.63,MX,1697329747
105,holualoa,19.6228,-155.9522,28.26,74,40,4.63,US,1697329747
106,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697329747
107,dabola,10.75,-11.1167,22.44,93,99,1.67,GN,1697329747
108,naivasha,-0.7167,36.4359,16.72,87,56,0.99,KE,1697329748
109,gorontalo,0.5412,123.0595,30.15,63,25,1.86,ID,1697329748
110,utrik,11.2278,169.8474,28.2,77,46,4.99,MH,1697329748
111,college,64.8569,-147.8028,6.0,79,100,2.57,US,1697329748
112,kainantu,-6.2887,145.8655,21.51,79,79,0.99,PG,1697329748
113,mahanoro,-19.9,48.8,23.08,97,63,2.68,MG,1697329749
114,al kharijah,25.4514,30.5464,23.08,35,0,2.97,EG,1697329749
115,tralee,52.2704,-9.7026,8.94,78,95,1.91,IE,1697329624
116,puerto aysen,-45.4,-72.7,5.79,99,85,1.89,CL,1697329749
117,golpayegan,33.4537,50.2884,12.59,42,0,0.12,IR,1697329749
118,forster,-32.1667,152.5167,22.94,52,0,2.77,AU,1697329750
119,iwase,36.35,140.1,16.8,96,100,2.8,JP,1697329750
120,ketchikan,55.3422,-131.6461,12.26,94,100,5.14,US,1697329750
121,georgetown,5.4112,100.3354,26.68,89,40,2.24,MY,1697329567
122,chapada dos guimaraes,-15.4606,-55.7497,27.81,58,90,2.08,BR,1697329750
123,altinekin,38.3078,32.8686,12.31,37,38,1.73,TR,1697329751
124,dzuunharaa,48.8523,106.4579,2.04,58,3,1.5,MN,1697329751
125,haiku-pauwela,20.9219,-156.3051,28.01,63,40,6.17,US,1697329751
126,ola,59.5833,151.2833,-1.44,62,98,1.61,RU,1697329751
127,anadyr,64.75,177.4833,2.28,80,100,3.0,RU,1697329751
128,lihue,21.9789,-159.3672,28.77,65,0,7.2,US,1697329680
129,vilyuchinsk,52.9306,158.4028,8.15,90,100,2.04,RU,1697329752
130,salekhard,66.53,66.6019,-2.95,85,37,3.82,RU,1697329457
131,formosa,-26.1775,-58.1781,22.2,72,0,3.09,AR,1697329648
132,midvagur,62.0511,-7.1939,2.46,60,100,5.66,FO,1697329752
133,iskateley,67.6803,53.1512,-2.21,93,28,1.79,RU,1697329752
134,tazacorte,28.629,-17.9293,28.42,24,0,4.92,ES,1697329753
135,vorgashor,67.5833,63.95,-1.37,90,100,4.23,RU,1697329753
136,klyuchi,52.2667,79.1667,6.97,58,100,4.31,RU,1697329753
137,melfort,52.8667,-104.6177,9.07,53,36,4.63,CA,1697329753
138,avarua,-21.2078,-159.775,24.03,78,75,6.69,CK,1697329753
139,mukalla,14.5425,49.1242,26.33,73,8,1.94,YE,1697329753
140,as safirah,36.077,37.3725,24.14,39,57,4.54,SY,1697329754
141,lebu,-37.6167,-73.65,9.9,78,43,8.18,CL,1697329754
142,kavieng,-2.5744,150.7967,28.85,71,77,1.72,PG,1697329754
143,tchintabaraden,15.8969,5.7985,29.97,18,7,3.72,NE,1697329452
144,hamilton,39.1834,-84.5333,12.07,91,100,3.58,US,1697329279
145,callao,-12.0667,-77.15,20.95,77,75,5.66,PE,1697329452
146,koungou,-12.7336,45.2042,26.84,83,40,4.12,YT,1697329452
147,as sulayyil,20.4607,45.5779,26.14,22,0,2.01,SA,1697329453
148,hollymead,38.1171,-78.4417,16.85,95,87,1.59,US,1697329453
149,bridlington,54.0831,-0.1919,5.01,80,3,1.79,GB,1697329453
150,necochea,-38.5473,-58.7368,14.68,56,77,7.76,AR,1697329453
151,bolnisi,41.4479,44.5384,8.77,74,0,1.23,GE,1697329453
152,carauari,-4.8828,-66.8958,27.33,63,36,0.99,BR,1697329453
153,hami,42.8,93.45,14.74,23,19,2.18,CN,1697329454
154,miyaly,48.8844,53.7836,11.97,72,73,3.4,KZ,1697329454
155,nort-sur-erdre,47.4333,-1.5,9.1,93,99,2.7,FR,1697329454
156,novi pazar,43.1367,20.5122,13.05,61,35,1.37,RS,1697329454
157,montagu,-40.7667,144.9667,10.47,71,100,6.2,AU,1697329454
158,quepos,9.4236,-84.1652,26.53,86,98,1.19,CR,1697329454
159,antsohihy,-14.8796,47.9875,25.38,85,22,0.84,MG,1697329455
160,kenai,60.5544,-151.2583,6.05,94,100,0.0,US,1697329455
161,vila franca do campo,37.7167,-25.4333,21.6,99,79,2.56,PT,1697329455
162,saipan,15.1355,145.701,29.39,84,20,3.6,MP,1697329455
163,cimitarra,6.3142,-73.9497,24.9,93,97,1.21,CO,1697329455
164,portland,45.5234,-122.6762,17.67,82,100,0.89,US,1697329472
165,pisco,-13.7,-76.2167,19.03,82,0,6.69,PE,1697329456
166,howard springs,-12.497,131.047,30.95,41,65,2.52,AU,1697329456
167,gadzhiyevo,69.2551,33.3362,1.93,97,100,12.42,RU,1697329757
168,uturoa,-16.7333,-151.4333,26.15,69,5,4.17,PF,1697329758
169,otofuke,42.9917,143.2003,12.53,62,59,0.39,JP,1697329758
170,weyburn,49.6668,-103.8511,7.12,53,43,3.6,CA,1697329758
171,bamboo flat,11.7,92.7167,25.05,100,20,0.51,IN,1697329758
172,bantogon,6.5333,124.0333,27.8,64,84,0.08,PH,1697329758
173,pimentel,-6.8367,-79.9342,21.16,78,0,7.2,PE,1697329758
174,north bend,43.4065,-124.2243,16.8,82,100,0.0,US,1697329759
175,cockburn town,21.4612,-71.1419,28.98,74,40,1.03,TC,1697329749
176,punta arenas,-53.15,-70.9167,7.06,70,0,7.2,CL,1697329759
177,siluko,6.5386,5.1609,24.28,99,76,1.1,NG,1697329759
178,yaren,-0.5472,166.916,28.66,71,57,2.32,NR,1697329759
179,tibro,58.4245,14.1616,7.85,84,67,2.24,SE,1697329760
180,caleta de carquin,-11.0925,-77.6267,19.42,85,96,4.15,PE,1697329760
181,dombarovskiy,50.7587,59.5386,5.56,83,70,3.58,RU,1697329760
182,susuman,62.7833,148.1667,-12.79,95,100,0.45,RU,1697329760
183,coronel suarez,-37.4547,-61.9334,15.63,33,100,5.19,AR,1697329760
184,mana,5.6592,-53.7767,27.54,83,48,5.87,GF,1697329760
185,saldanha,-33.0117,17.9442,18.03,70,79,6.01,ZA,1697329761
186,vilhena,-12.7406,-60.1458,25.12,66,53,1.66,BR,1697329761
187,mount gambier,-37.8333,140.7667,12.35,85,100,4.56,AU,1697329761
188,dobrovnik,46.6514,16.3525,16.63,73,86,5.26,SI,1697329761
189,pangody,65.85,74.4859,-0.23,89,100,4.68,RU,1697329761
190,brades,16.7918,-62.2106,28.78,73,91,4.68,MS,1697329762
191,bel ombre,-4.6167,55.4167,26.91,89,75,4.63,SC,1697329762
192,ambatolampy,-19.3833,47.4167,16.03,78,10,1.1,MG,1697329762
193,guarapari,-20.6667,-40.4975,21.61,93,100,4.16,BR,1697329762
194,el viejo,12.6633,-87.1672,26.48,87,59,1.37,NI,1697329762
195,nagqu,31.5,92.0,-3.68,66,24,1.85,CN,1697329763
196,tadine,-21.55,167.8833,24.55,76,66,4.75,NC,1697329763
197,mangalia,43.8,28.5833,16.48,85,0,4.01,RO,1697329763
198,havre,49.5833,0.3333,11.87,62,75,6.69,FR,1697329763
199,harstad,68.799,16.5293,3.97,82,100,8.49,NO,1697329763
200,byron bay,-28.65,153.6167,28.73,40,0,2.27,AU,1697329763
201,hood river,45.7054,-121.5215,17.77,81,100,1.54,US,1697329464
202,kruisfontein,-34.0033,24.7314,11.01,91,70,1.02,ZA,1697329764
203,san fernando de apure,7.8878,-67.4724,24.96,81,96,1.94,VE,1697329479
204,eldorado at santa fe,35.5264,-105.9347,19.25,24,0,3.6,US,1697329764
205,korla,41.7597,86.1469,14.07,32,6,1.06,CN,1697329764
206,sena madureira,-9.0656,-68.6569,26.23,70,76,1.55,BR,1697329764
207,la sarre,48.8002,-79.1996,6.47,89,100,5.14,CA,1697329765
208,coracora,-15.0333,-73.7833,12.27,66,92,2.17,PE,1697329765
209,primorsko-akhtarsk,46.0497,38.1747,14.43,50,0,3.58,RU,1697329765
210,divnoye,45.9089,43.3547,13.07,48,0,3.54,RU,1697329765
211,darzab,35.9774,65.3783,8.72,55,84,0.4,AF,1697329765
212,salinopolis,-0.6136,-47.3561,27.75,75,44,5.82,BR,1697329765
213,watertown,42.3709,-71.1828,12.73,78,0,2.24,US,1697329766
214,dunedin,-45.8742,170.5036,10.68,64,98,6.89,NZ,1697329766
215,shohimardon,39.9839,71.8028,0.43,41,0,0.49,UZ,1697329766
216,happy valley-goose bay,53.3168,-60.3315,9.17,87,100,8.75,CA,1697329766
217,plettenberg bay,-34.0527,23.3716,13.57,83,87,3.33,ZA,1697329766
218,ust-nera,64.5667,143.2,-13.21,93,100,1.34,RU,1697329766
219,san bernardo del viento,9.3533,-75.9524,27.17,82,94,2.17,CO,1697329767
220,mata-utu,-13.2816,-176.1745,27.45,77,59,7.66,WF,1697329680
221,bulayevo,54.9056,70.4439,3.64,92,61,3.79,KZ,1697329767
222,helena valley southeast,46.6153,-111.9216,14.41,66,20,0.89,US,1697329767
223,queenstown,-31.8976,26.8753,7.8,88,62,1.81,ZA,1697329767
224,naze,28.3667,129.4833,23.51,61,67,7.67,JP,1697329768
225,richards bay,-28.783,32.0377,17.96,67,86,6.99,ZA,1697329768
226,sanctuary point,-35.1114,150.629,21.22,38,40,1.55,AU,1697329768
227,tsiombe,-25.3,45.4833,22.3,86,88,1.74,MG,1697329769
228,geraldton,-28.7667,114.6,30.23,12,7,7.72,AU,1697329769
229,sittwe,20.15,92.9,23.49,89,10,2.94,MM,1697329770
230,argo,37.6333,22.7333,18.53,68,0,0.93,GR,1697329579
231,nar'yan-mar,67.6713,53.087,-2.16,93,30,1.79,RU,1697329770
232,kudahuvadhoo,2.6708,72.8944,27.12,73,54,2.61,MV,1697329771
233,cochin,9.9399,76.2602,24.99,92,100,0.97,IN,1697329771
234,camalu,30.85,-116.0667,22.26,64,5,4.25,MX,1697329771
235,rochelle,46.25,-1.0,11.05,76,0,4.63,FR,1697329772
236,okhotsk,59.3833,143.3,2.29,76,100,5.6,RU,1697329772
237,constantia,44.1833,28.65,13.38,84,0,4.95,RO,1697329772
238,khorixas,-20.3667,14.9667,16.23,38,75,1.81,NA,1697329772
239,oruro,-17.9833,-67.15,14.6,41,88,7.72,BO,1697329772
240,egilsstadir,65.2653,-14.3948,-4.05,80,75,0.0,IS,1697329773
241,wynyard,-41.0,145.7167,10.66,66,99,4.93,AU,1697329773
242,chibougamau,49.9168,-74.3659,6.79,81,100,4.63,CA,1697329774
243,ust'-ilimsk,58.0006,102.6619,4.69,74,100,4.02,RU,1697329774
244,weno,7.4515,151.8468,25.97,89,100,5.14,FM,1697329774
245,el burgo de osma,41.5862,-3.0652,10.97,90,19,0.73,ES,1697329775
246,carbonear,47.7332,-53.2148,12.57,96,85,3.39,CA,1697329775
247,bisenda buzurg,25.4167,80.6167,24.13,47,0,2.88,IN,1697329775
248,pocone,-16.2567,-56.6228,31.66,38,54,0.81,BR,1697329775
249,mineiros,-17.5694,-52.5511,26.85,55,85,1.53,BR,1697329775
250,arraial do cabo,-22.9661,-42.0278,20.66,85,100,6.71,BR,1697329643
251,alice springs,-23.7,133.8833,25.75,12,0,4.63,AU,1697329776
252,teresina,-5.0892,-42.8019,31.84,48,75,4.12,BR,1697329661
253,kapuskasing,49.4169,-82.4331,7.05,87,100,4.12,CA,1697329777
254,tanabe,33.7333,135.3667,21.56,78,20,5.14,JP,1697329779
255,madarounfa,13.3087,7.156,29.23,23,70,3.65,NE,1697329779
256,akureyri,65.6835,-18.0878,-3.04,86,75,0.51,IS,1697329779
257,kijang,35.2442,129.2139,15.85,52,0,3.62,KR,1697329779
258,papao,-17.75,-149.55,28.82,76,20,4.33,PF,1697329780
259,parabel',58.6978,81.4825,3.28,96,100,5.36,RU,1697329781
260,kenora,49.8167,-94.4337,7.54,76,20,1.03,CA,1697329565
261,broken hill,-31.95,141.4333,18.0,47,1,2.74,AU,1697329781
262,tual,-5.6667,132.75,26.75,84,59,8.1,ID,1697329781
263,pauini,-7.7136,-66.9764,23.74,92,85,1.14,BR,1697329782
264,rye,40.9807,-73.6837,10.96,89,100,2.06,US,1697329782
265,zelenoborskiy,66.845,32.3622,0.37,98,100,4.03,RU,1697329782
266,spring creek,40.7266,-115.5859,18.82,24,50,0.91,US,1697329782
267,fale old settlement,-9.3852,-171.2468,28.41,76,92,9.26,TK,1697329532
268,port alfred,-33.5906,26.891,16.47,78,88,0.78,ZA,1697329783
269,kerikeri,-35.2268,173.9474,20.62,49,71,4.42,NZ,1697329783
270,guichon,-32.35,-57.2,12.61,82,0,4.02,UY,1697329783
271,kalabo,-14.97,22.6814,20.76,77,75,3.05,ZM,1697329783
272,nova sintra,14.8667,-24.7167,25.49,79,100,4.69,CV,1697329783
273,kapa'a,22.0752,-159.319,29.18,65,0,7.2,US,1697329783
274,mejit,10.2753,170.8646,28.05,76,90,4.95,MH,1697329784
